HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,home_fpl,away_fpl,home_win,away_win
Chelsea,West Ham,1,2,A,,,,1994-95,101.9,68.04545454545455,0.6051660516605166,0.19421487603305784
Chelsea,Leicester,4,0,H,,,,1994-95,101.9,59.875,0.6051660516605166,0.23776223776223776
Southampton,Everton,2,0,H,,,,1994-95,60.0,62.32142857142857,0.41262135922330095,0.21033210332103322
West Ham,Crystal Palace,1,0,H,,,,1994-95,68.04545454545455,63.61904761904762,0.371900826446281,0.22727272727272727
Arsenal,Chelsea,3,1,H,,,,1994-95,68.92857142857143,101.9,0.6383763837638377,0.42435424354243545
Crystal Palace,Newcastle,0,1,A,,,,1994-95,63.61904761904762,0.0,0.2818181818181818,0.1910569105691057
Leicester,Southampton,4,3,H,,,,1994-95,59.875,60.0,0.34965034965034963,0.17475728155339806
Man United,West Ham,1,0,H,,,,1994-95,70.6,68.04545454545455,0.6678966789667896,0.19421487603305784
Crystal Palace,Everton,1,0,H,,,,1994-95,63.61904761904762,62.32142857142857,0.2818181818181818,0.21033210332103322
Man City,Tottenham,5,2,H,,,,1994-95,81.95,95.5,0.5401785714285714,0.28044280442804426
West Ham,Southampton,2,0,H,,,,1994-95,68.04545454545455,60.0,0.371900826446281,0.17475728155339806
Everton,Arsenal,1,1,D,,,,1994-95,62.32142857142857,68.92857142857143,0.42435424354243545,0.36900369003690037
Leicester,Crystal Palace,0,1,A,,,,1994-95,59.875,63.61904761904762,0.34965034965034963,0.22727272727272727
Man United,Newcastle,2,0,H,,,,1994-95,70.6,0.0,0.6678966789667896,0.1910569105691057
Tottenham,West Ham,3,1,H,,,,1994-95,95.5,68.04545454545455,0.4944649446494465,0.19421487603305784
Everton,West Ham,1,0,H,,,,1994-95,62.32142857142857,68.04545454545455,0.42435424354243545,0.19421487603305784
Man City,Southampton,3,3,D,,,,1994-95,81.95,60.0,0.5401785714285714,0.17475728155339806
West Ham,Leicester,1,0,H,,,,1994-95,68.04545454545455,59.875,0.371900826446281,0.23776223776223776
Liverpool,Chelsea,3,1,H,,,,1994-95,70.07407407407408,101.9,0.5793357933579336,0.42435424354243545
Man United,Man City,5,0,H,,,,1994-95,70.6,81.95,0.6678966789667896,0.33482142857142855
Man United,Crystal Palace,3,0,H,,,,1994-95,70.6,63.61904761904762,0.6678966789667896,0.22727272727272727
Southampton,Arsenal,1,0,H,,,,1994-95,60.0,68.92857142857143,0.41262135922330095,0.36900369003690037
Leicester,Man City,0,1,A,,,,1994-95,59.875,81.95,0.34965034965034963,0.33482142857142855
Everton,Liverpool,2,0,H,,,,1994-95,62.32142857142857,70.07407407407408,0.42435424354243545,0.35424354243542433
Leicester,Arsenal,2,1,H,,,,1994-95,59.875,68.92857142857143,0.34965034965034963,0.36900369003690037
Tottenham,Chelsea,0,0,D,,,,1994-95,95.5,101.9,0.4944649446494465,0.42435424354243545
Arsenal,Man United,0,0,D,,,,1994-95,68.92857142857143,70.6,0.6383763837638377,0.47601476014760147
Chelsea,Everton,0,1,A,,,,1994-95,101.9,62.32142857142857,0.6051660516605166,0.21033210332103322
